3;GokuMarket;XEM/BTC;145.489 BTC;0.00000269 BTC;11.56%;2 minutes ago
6;HitBTC;XEM/USDT;98.324 BTC;0.00000268 BTC;7.81%;2 minutes ago
8;Binance;XEM/BTC;37.742 BTC;0.00000269 BTC;3.00%;2 minutes ago
12;OKEx;XEM/BTC;$1 040 766.628;$0.11169;1.98%;2 minutes ago
13;DragonEX;XEM/BTC;$992 249.611;$0.11044;1.89%;2 minutes ago
14;HitBTC;XEM/BTC;$648 540.695;$0.11152;1.24%;2 minutes ago
16;AscendEX (BitMax);XEM/BTC;$556 858.157;$0.11169;1.06%;2 minutes ago
20;BETCONIX;XEM/BTC;$479 800.511;$0.11169;0.91%;2 minutes ago
22;DigiFinex;XEM/BTC;$459 358.507;$0.11044;0.88%;3 minutes ago
24;Huobi;XEM/BTC;$423 498.192;$0.11169;0.81%;2 minutes ago
28;HitBTC;XEM/ETH;$262 417.991;$0.11192;0.50%;2 minutes ago
37;Exmo;XEM/BTC;$83 792.036;$0.11169;0.16%;2 minutes ago
42;Poloniex;XEM/BTC;$37 921.607;$0.11127;0.07%;2 minutes ago
45;Hotbit;XEM/BTC;$26 776.921;$0.11085;0.05%;2 minutes ago
49;Bittrex;XEM/BTC;$23 498.539;$0.11169;0.04%;2 minutes ago
50;Kucoin;XEM/BTC;$23 003.704;$0.11210;0.04%;2 minutes ago
53;Upbit;XEM/BTC;$14 151.206;$0.10960;0.03%;2 minutes ago
56;Exrates;XEM/BTC;$6 666.855;$0.11085;0.01%;2 minutes ago
59;CoinEx;XEM/BTC;$4 974.315;$0.11095;0.01%;2 minutes ago
62;Gate.io;XEM/BTC;$1 344.638;$0.11110;0.00%;2 minutes ago
63;FINEXBOX;XEM/BTC;$1 192.56;$0.17336;0.00%;2 minutes ago
65;Zaif;XEM/BTC;$647.725;$0.10835;0.00%;2 minutes ago
67;BTC Trade UA;XEM/UAH;$349.055;$0.11406;0.00%;6 minutes ago
68;Liquid;XEM/BTC;$303.797;$0.11044;0.00%;2 minutes ago
70;Crex24;XEM/BTC;$123.882;$0.11294;0.00%;2 minutes ago
75;YoBit;XEM/BTC;$15.082;$0.11335;0.00%;3 minutes ago
80;Graviex;XEM/BTC;;$0.11960;;2 minutes ago
82;HitBTC;XEM/EOS;;$0.11269;;2 minutes ago
